id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2414,41af43bb3f9077ea,1423098505169,0.2866211,-0.05697632,9.902985,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2415,41af43bb3f9077ea,1423098505684,0.29852295,-0.0664978,9.891083,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2416,41af43bb3f9077ea,1423098506203,0.30506897,-0.05697632,9.893463,,2015-02-24 04:02:00 UTC,2015-02-24 04:02:00 UTC,
2417,41af43bb3f9077ea,1423098506714,0.30447388,-0.036743164,9.9214325,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2418,41af43bb3f9077ea,1423098507228,0.29911804,-0.049240112,9.915482,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2419,41af43bb3f9077ea,1423098507742,0.30506897,-0.041503906,9.90834,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2420,41af43bb3f9077ea,1423098508257,0.32054138,-0.04031372,9.912506,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2421,41af43bb3f9077ea,1423098508777,0.29733276,-0.04626465,9.855972,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2422,41af43bb3f9077ea,1423098509287,0.28900146,-0.056381226,9.923218,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2423,41af43bb3f9077ea,1423098509823,0.28781128,-0.045074463,9.910721,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2424,41af43bb3f9077ea,1423098510335,0.29197693,-0.04864502,9.928574,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2425,41af43bb3f9077ea,1423098510850,0.28424072,-0.058761597,9.926193,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2426,41af43bb3f9077ea,1423098511366,0.28483582,-0.061141968,9.902985,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2427,41af43bb3f9077ea,1423098511880,0.3020935,-0.058166504,9.891678,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2428,41af43bb3f9077ea,1423098512395,0.29792786,-0.042099,9.854782,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
2429,41af43bb3f9077ea,1423098512909,0.3270874,-0.05935669,9.919052,,2015-02-24 04:02:01 UTC,2015-02-24 04:02:01 UTC,
